Total,Tips
2.4,0
5.08,0
2.79,0
4.18,0
7.4,2
5.1,1
7.09,1
9.13,1
7.35,2
9.35,1
7.48,1
8.32,1
4.5,1
1.86,0
15.75,3
4.04,0
3.5,0
7.68,1
4.54,0
7,0
8.3,1
2.7,0.6
2.7,0
6.23,0.6
9.18,0
6.6,0
3,1
3.73,1
6.98,2
2.4,0
7.39,0
7.55,0
3.9,0
3.5,1
6.55,2
4.99,0
5.99,2
2.1,1
2.79,0.5
15.62,3
8.39,0
6.58,0
7.45,2
6.82,1
8.36,0
5.25,0
10.45,1
4.68,0
6.48,0
7.89,0
6.97,2
4.04,0
9.05,0
7.32,0
5.7,1
4.78,1
9.09,0
7.35,0
8.55,0
3.69,1
2.35,0
8.1,0
11.96,2
3,1
2.75,0
6.48,1
1.85,0.15
2.5,0
11.32,0
5.19,0
4.22,0
1.98,0
4.19,0
3.89,5
3.89,1
4.68,0
7.59,0
4.5,1.14
2.35,0
3.5,0
9.01,2
6.19,2
5.6,1
19.7,2
4.62,1
2.4,0
2.4,0.5
3.85,0
6,0
4.19,1
7.89,0
8.5,2
6.85,0
2.12,0
3.47,0
5.35,1
3.47,0
6.9,1
4.69,0.43
2.5,1
7.04,0
20.55,1
3.5,0
4.04,0
2.1,0
9.47,0
7.63,1
2.5,0
11.52,3
5.15,1
10.2,1
2.65,0
6.62,0
4.25,0
5.99,0
3.85,1
1.85,1
9.96,1
4.4,2
10.93,0
2.1,0
4.5,2
5.09,0
6.19,0
3,0
5.19,1
3.5,1
4.2,0
4.57,0
8.76,2
2.7,0.6
6.35,1
6.84,1
3.85,1
3.5,0
3.57,0
2.78,1
8.3,0
1.8,0
7.84,0
1.85,1
7.33,0
5.22,0.85
4.88,0.5
4.6,1
4.52,1
1.85,0.5
7.39,1
3.24,0.5
11.7,0
7.99,0
4.91,0
3.7,1
3.5,0
8.41,3
3.24,1.5
2.1,0
5.34,1
1.85,0.5
4.35,0
4.75,0
4.5,1
4.6,0
4.68,0
2.7,0.51
5.39,2
9.28,2
3.5,1
7.09,0
3.5,0
3.09,0
3,1
6.99,1
3.85,1
7.15,1
10.07,2
7.02,1
7.35,0
2.4,1
2.1,1
7.19,1
2.7,1
8.4,1
5.29,1
9.07,2
9.95,2
4.5,0
4.78,0
2.7,1
4.16,0
4.5,1
3.5,0
3.5,0
2.4,0.5
11.05,0
4.5,0.5
2.7,1
4.24,1
10.62,1
7.12,1
1.85,0
6.1,0
6.4,1
4.45,1
7.39,1
4.5,0
6.2,1.5
4.77,0
3.85,0
12.2,0
2.7,0.6
6.55,1
2.4,0
3.39,0
7.5,1
3.93,1
3.09,1
8.15,0
9,1
3,0
6.6,1
2.1,0
4.87,0
7.4,1
17.44,3
5.02,1
3.04,0
2.75,0
5.4,1
8.43,0
7.39,1
7.27,1
3.4,0
6.7,2
7.05,0
6.96,0
5.89,2
5.63,0.5
9.95,0
6,0
4.19,0
3.5,0
5.25,1
2.7,1
1.85,1
1.85,0
5.39,0
7.68,0
6.05,1.46
4.6,1
2.75,0
8.45,0
13.83,1
31.77,0
9.08,1
17.62,2
3.7,1
8.66,1
5.32,0
10.9,0
3.76,0.94
2.65,1
2.75,1
4.62,2
9.85,2
6.32,0
4.95,0
3.83,0
3.01,0
2.1,1
2.1,0.73
6.92,1
17.49,0
2.7,0
1.85,0.5
8.89,1.4
8.25,0
11.24,0
16.54,3
5.35,0
5.22,0
13,0
12,1
10.18,0
23.5,0
4.85,0.76
5.31,0
4.87,0
3.5,0
6.3,1
12,2
4.85,0
2.75,0
3.83,0
3.85,0
3.75,0.95
3.57,0
2.1,0.1
10,1
5.75,0
4.54,0
2.1,0.73
4.19,1
7.7,0
7.89,2
5.19,1.39
8.87,4
3.05,1
7.16,1
7.9,2
6.35,1.46
5.6,0
5.4,1
5.47,1
2.35,0
4.12,0
11.55,0
7.42,0
4.2,0
5.01,0
2.4,0
3.5,0
1.85,0
4.04,0
4.04,1
4.04,1
7.31,0
5.57,0
8.08,1
2.75,1
1.85,1
1.85,0.1
3.01,0
7.07,0
1.85,0
8.04,1.32
12.98,0
9.35,0
5.99,0
3.85,0
6.57,1
2.75,0
5.09,1
2.9,0
2.5,0
7.67,0
4.19,0
2.75,0
3.85,0
6.44,1
20.5,0
7.99,0
7.84,0
6.29,0
15.17,2
6.49,0
5.56,1
2.85,1
6.29,1
1.85,0
7.39,1
4.5,2
7.94,1.5
2.5,0
9.84,2
6.2,1.3
3.81,0.89
5.99,0
7.88,2
2.7,0.6
3,0
3,0
14.04,0
2,0
10.47,0
7.78,1
12.08,0
4.69,0
5.19,0
3.8,1
4.78,0
4.8,0
11.03,0
7.4,0
2.35,0
8.77,0
3.47,1
4.04,0
8.39,1
4.54,0
1.89,1
7.34,1
5.99,0
5.99,0
2.1,0
4.68,0
4.16,1
1.85,0
1.85,0
1.85,1
2.4,0.5
3,0.5
5.38,0
1.85,0
2.7,0
12.68,1.3
4.04,0
3.24,1
4.25,1
3.5,0
4.54,0
4.6,2
3.7,0
6.71,0
3.5,0
2.69,1
1.85,0
3.57,0.14
3.5,0
6.15,0
8.33,0
3,0
3.24,0
4,0
2.5,0.5
3.5,1
4.55,1
16.48,1
4.48,0
4.95,0.5
1.85,1
2.4,1
2.7,0.6
2.1,1
8.02,1
4.22,0
5.17,0
9.95,0
5.75,1
2.1,1
4.2,0
3,1
2.4,0
4.73,1
5.25,1
5.19,0.5
3.85,1
4.5,1
3,1
6.54,1
2.7,0
5.19,1
4.54,2
3,0.76
7.95,3
2.4,0
12.9,1.5
3,1
3.5,0.5
5.25,1
4.54,1
4.54,1
5.29,1
4.25,0
5.9,1
3.5,1
3.8,1
4.19,0.47
3.47,0
2.75,0
23.59,1
5.99,0
3.9,1
2.4,0
9.75,1
7.89,0
5.99,1
4.75,0
7.84,0
2.4,1
3,0.25
8.18,0
3.5,0
3.57,0
3.7,2
2.1,0.5
8.99,1
4.6,1
2.4,0.41
2.1,0
4.19,0
5.99,0
2.4,0
13.02,0
3,0
8.69,1
5.23,0
5.99,0
10.03,0
9.84,0
4.16,2
4.54,0.6
2.4,0
4.04,1
2.1,1
4.6,0
2.5,1
5.29,1
6.95,1.5
5.4,0
2.35,0
1.85,1
3.76,1
2.4,0
4.7,1
5.25,1
1.91,0
4.78,1
3.57,0
2.4,1
4.22,0
13.29,2
8.15,4
2.78,0
2.75,0
3.47,0.25
5.09,1
3.93,1
2.75,0
2.5,0
10.9,0
8.39,0
9.46,0
3.98,0
5.25,0
7.35,0
3.47,0
2.7,1
2.4,0
1.85,0
2.1,0
3,0
3.47,1
2.35,1
6.25,1.25
2.5,0.25
4.6,2.03
4.68,0
4.5,1
6.5,2
5.6,1
7.4,0
2.4,0
3.47,0
3.85,0
2.85,1
3.75,0
7.84,1
5.87,0
4.54,1
2.4,0
7.99,1
2.1,0
13.94,2
4.78,0
3.93,0
4.48,1
7.39,0
4.5,2
4.5,1
3.15,0.5
7.35,1
4.09,1
5.35,1
6.1,0
7.39,1
2.4,0
5.42,0.5
7.66,1
4.6,0.5
3.98,0
2.7,1
1.85,1
2.4,0
8.84,1
5.95,0
2.94,0
3.85,2
3.01,1
1.85,1
5.19,0
2.7,0
2.5,1
5.9,1
10.45,0
4.2,1
9,0
1.85,0
31.6,0
2.1,0
2.4,0
13.73,3
6.04,0
5.25,0
20.3,1
13.16,1
5.35,0
5.55,1
1.85,0
5.8,1
5.25,0
2.35,0
2.7,0
6.58,0
9.08,0
2.75,1
2.4,2
3.85,0.5
13.8,1
6.89,1
1.85,1
8.69,0
4.43,0
5.29,0
5.56,1
6.59,0
13,0
7.73,0
4.68,0
1.85,0
1.85,0.5
1.85,0
2.4,0
5.19,1
4.35,0
4.74,0
2.1,0.3
6.54,2
3.9,1
11.95,1.09
1.85,0
4.9,0
5.6,1
5.96,0
3.7,1
4.5,1
4.99,0
1.85,0
3.24,0
7.93,0
3.57,0
5.32,0
4.04,1
9.58,0
6.2,0
5.6,0
6.58,0
9.86,0
6.6,1.5
3.47,1
5.5,0
3.85,1
3.7,0
3.5,0
5.61,0
14.52,1
2.78,1
8.5,2
4.19,0
3.47,0
6.76,1
3.95,0
1.85,0.01
2,1.5
4.22,0
6.65,0.82
3.2,0
3.24,1
2.4,1
6.67,1
3.03,0
3.2,0
4.99,0
5.8,1
2.7,0.5
2.4,1
2.5,1
4.88,0
2.78,0
0.01,0
2.4,0.36
1.85,1
2.4,0
2.4,0
3.85,0.77
2.1,1
3.5,0.7
6.53,0
9.05,1.36
5,1
9.35,0
2.1,0
5.65,0
5.9,1
4.6,0.69
1.85,0.28
5.53,0.83
4.16,0.62
5.42,0.81
3,1
4.22,0
1.85,0
3.85,1
3.8,1
6.95,0
1.35,0
2.1,0
7.59,0
6.44,0
4.54,0
5.35,0
5.99,1.2
9.22,0
1.85,0
6.68,1
2.4,1
3.09,0
4.6,0.69
1.85,0
2.4,0.48
3.5,1
3.7,0.56
4.54,0.91
2.1,0
5.99,1.5
1.85,0.28
6.97,1.05
2.7,1
4.75,0.71
5.8,0
4.65,0.7
4.39,1.26
5.25,0.79
2.4,1
2.4,1
4.5,0.68
1.85,0
5.99,1.2
2.7,0
3.69,0.74
3.85,1
2.4,1
3.47,0.69
1.85,0
7.04,1.06
4.97,0.75
4.79,0.96
4.18,0.63
8.72,1.31
3.89,1
3.65,0
2.75,1
2.08,0
2.5,1.3
3.5,0.7
9.88,1.48
3.47,1
3.57,0
1.85,1
3.01,0
5.15,0.77
4.22,0.63
4.25,0.64
7.37,1
4.54,0.68
2.1,0
5.19,1.04
4.22,0
5.6,0
2.1,0.32
3.24,1
3.7,0.74
3.24,0.49
10.72,0
4.97,0.99
1.85,0.28
2.7,0
7.69,1.15
2.4,0.48
4.75,0
3.85,0.58
2.4,0
10.23,2.05
5,0
7.45,1.12
2.25,0.5
4.19,0.63
5.79,0
8.44,0
1.98,0
3.9,0.59
2.1,0.73
3,0.6
8.39,1.68
5.35,1.07
9.37,1.87
7.61,0
8.5,1
1.9,0
10.49,0
4.59,0.92
7.4,1.48
4.12,0.82
7.04,0
3,0.6
5.99,1.2
4.04,0.61
6.02,0.9
2.1,0
8.12,0
3.2,0.64
4.62,0.69
1.85,1
3.5,0
3.7,0
2.69,1
5.99,1.2
2.5,0.5
2.7,0.41
2.7,1
7.74,1.16
7.99,1.6
2.4,1
5.57,1.11
5.19,0
11.83,2.37
2.1,0.42
8.48,1.7
2.7,0.54
9.51,1.43
3.8,0
2.4,1
3.39,0.68
2.4,0.36
3.5,1
6.65,1
4.04,1.01
4.5,0.68
11.23,1.68
3,0.6
8.25,0
2.75,1
7.2,0
4.57,0
8.95,1.79
4.68,0
2.1,1
5.95,0.89
2.7,1
7.65,1.15
2.4,0
10.5,2.1
27.29,4.09
4.68,0.94
8.39,0
7.15,1.07
3.9,1
3.5,0
4.5,0.68
5.19,0.78
4.68,0
3.47,0.69
4.48,0.67
3.98,0.6
9.39,1.41
3.39,0
7.89,2
3.5,0.7
5.8,0.87
20.94,3.14
3.93,0.59
2.55,0.38
8.65,1.3
3.7,1
3.85,0.58
7.69,1.15
8.48,0
4.09,0
4.04,0.61
6.35,1.27
3,1
4.2,0.63
2.4,0
4.4,1.1
2.75,0.41
2.7,0
4.6,0.69
3,1
3.47,0.52
4.04,0.61
4.19,0.84
9.47,0
3,1
2.4,0
6.59,0.99
8.21,1.64
3.47,0
3.5,0
1.98,0
8.95,1.34
1.85,0.28
2.4,0.48
1.85,1
4.69,0.7
5.25,0.79
3.47,1
3.01,0.6
5.99,1
5.29,0.79
3.85,0.58
5.43,0.81
5.99,1.5
3.57,1
3.8,1
5.19,1.3
2.78,1
5.75,1.15
4.4,1.1
4.9,0
3.47,0.52
1.85,0.28
8.39,1.68
2.75,0.41
6,0.9
6.19,1.24
4.68,0.7
1.85,1
2.5,0.38
3.5,0.22
3.7,1
3.47,0
5.19,1.04
2.7,0
5.71,0.86
6.71,1.01
2.4,0.36
4.19,0.63
3.61,1
5.19,1.04
13,0
3.85,1
7.36,0
1.9,1
3.57,0
2.4,0
25,0
9.74,1.46
4.62,0.92
3,1
3.47,0
6.97,1.05
1.85,1
2.4,0.36
3.24,0
3.24,0
1.85,1
6.94,1.04
3,1
2.75,0.41
3.57,0.54
3.5,0
8.15,1.22
6.79,1.02
10.05,1.51
5.6,1.4
2.47,0.25
4.6,0.69
4.5,0.68
10.04,1.51
14.6,0
5,1
4.09,0
3.85,0.58
8.05,2.01
2.5,0.5
2.65,0.53
4.12,0.62
6.54,0.98
3.85,0.5
8.05,1.21
4.68,0.94
8.8,2.2
2.7,0.54
3.85,0.5
13.53,0
4.5,0.68
9.2,1.38
6.52,1.63
8.33,0
3.89,0
8.58,1.72
3.01,0
2.4,0
4.22,0
3.5,0.7
3.89,0.58
3.7,0
5.63,0.84
3.24,0
7.12,1.07
11.2,2.8
9.78,0
7.74,0
7.28,1.09
3,0
11.38,2.28
3,0
2.1,0.32
9.75,1.46
4.25,1.06
3.69,0
4.25,0.64
9,1.35
4.19,0.63
3.5,0.7
2.9,1
4.16,0
10.44,0
2.4,0.48
9.23,0
4.4,0
5.81,1.16
3.9,0
5.99,0
6.85,0
5.76,1
22.12,3.32
4.98,0.75
7.99,1.2
16.04,2.41
7.1,0
1.85,0
4.18,0
4.54,0
2.1,1
8.75,1.31
9.29,1.86
4.54,0.68
3.43,0
1.85,0.37
4.54,0.91
17.03,2.55
9.46,1.42
10.6,1.59
5.39,0
4.54,0
5.37,0.81
5.9,0
3.57,0.25
2.1,0
3.01,1
3.95,1
2.4,0
3.34,0.5
2.4,0
3,0.45
2.7,0.54
16.8,3.36
3.85,1
9.4,0
8.5,1.28
3.24,0
4.39,0
5.99,0
4.91,0.74
3,0.6
2.5,1
4.1,0
3.7,1
4.15,0.83
6.85,1
11.59,0
1.85,0.37
9.69,0
7.66,1.53
3.48,0
4.04,1
2.92,0
2.1,0
1.85,0.25
3.5,0
3.3,1
3.65,0
3.7,0.74
3.24,0
4.2,0
8.08,1.62
7.77,1.17
2.78,0.42
2.85,1.92
3.24,1
14.39,0
1.85,0.28
6.19,1.24
4.04,0.61
1.85,1
6.02,0.9
4.54,0
7.84,1.57
8.35,1.25
1.85,0.37
5.18,0.78
3.24,1
5.19,1.04
3.7,0
6.2,0
1.85,0.28
3.7,1
4.91,0
2.1,0.32
6.24,0
1.85,1
6.77,1.35
9.8,1.47
5.45,0.82
3.7,0.56
4.5,0.68
16.55,3.31
18.27,2.74
17.19,2.58
9.35,1.87
2.4,0
12.2,0
9.18,0
2.7,0
7.07,1.06
3.7,0.74
5.1,0.77
7.7,0
5.6,1.4
3,0.6
10.24,1.54
4.7,0.94
7.29,1.09
4.25,0
4.5,0.68
5.45,1.09
8.89,1.78
2.75,1
3.82,0
3.47,0.52
4.94,0
3.89,1
17.08,2.56
8.74,1.75
6,1.2
6.2,0.93
5.9,0
4.5,0.9
1.85,0.37
3.98,0
3.85,0
5.19,0.78
6.9,1.04
1.85,0
4.99,1
7.12,0.31
7.69,1
2.4,1
15.45,2.32
3.85,0.58
9.43,0
4.04,0.81
6.55,1.31
4.54,0.68
7.91,1.19
7.65,1.15
5.65,0.85
3,0.6
4.2,0.63
2.4,0.36
3.76,0.56
3.57,0
3.57,1
9.33,1.87
9.35,1.4
9.47,1.89
6.45,0.97
15.8,2.37
3.85,0.58
4.25,0.64
3.8,0
6.09,0.91
8.63,0
2.4,0.36
3.24,1
3.47,0
11.56,2.31
1.85,0.25
6.99,0
5.05,0
7.94,1.19
3,1
1.67,0
3.85,0.58
2.7,0.54
3.7,0.56
2.4,0
4.9,0.98
6.89,1.03
4.5,0
4.54,0
9.08,1.82
10.59,1.59
5.99,0
5.25,0.79
3.57,1
2.08,0.31
8.4,0
8.09,0
7,0
1.85,1
11.94,2.39
2.9,0
4.62,0.92
5.5,0.83
3.8,0.76
3.47,0.52
6.12,0.92
7.44,0
5.99,0
3.8,0
3.85,0
2.55,0
11.18,1.68
1.85,1
3.89,0.58
9.19,1.84
4.12,0.62
2.7,0
7,1.05
4.19,0.63
4.94,0
3.5,0.53
6.59,0.99
3.85,1
4.57,0
1.85,0
6.99,1
12.49,0
10.03,0
7.39,1.11
3.47,0.52
3.85,0.58
6.3,0.95
11.19,0
8.26,0
11.7,1.76
3.5,0
6.75,0
5.9,0.89
4.19,0.63
9.1,1.37
11.7,1.76
3.5,1
5.5,0
4.85,0.73
2.4,1
7.65,1.15
2.75,1
4.99,0
2.55,0
5.47,0.82
4.4,0.66
9.24,1.39
9.88,1.98
6.04,0
1.85,0
7.5,0
4.12,0.62
3.24,1
4.18,0
3,0.6
6.54,1.31
6.74,1.01
3.7,0
4.62,0.92
3.47,0.52
5.5,0
3.85,0
10.47,2.09
3.47,0.69
5.08,1.02
2.31,0.35
5.97,0
1.85,1
9.2,1.84
6.97,1.05
4.25,0
5.15,0
7.1,1.07
8.39,1.26
5.65,0.85
4.94,0
1.85,1
4.94,0.99
2.8,0
3.09,0.62
13,0
6.96,0
4.68,0.94
4.68,0.7
2.5,0
3.44,0
6.24,1.25
1.85,0.28
2.1,0
4.62,0.92
5.56,1
3.24,0
4.99,1
4.04,0.61
5.09,0.76
4.5,0
4.12,0.62
4.8,0.96
7.8,1.17
3.7,0
9.24,1.85
2.5,0.5
2.1,0
4.5,0.68
4.19,0.84
4.6,0.69
3.5,1
4.04,0.61
2.4,0
2.7,1
5.67,1.13
2.4,0
5,1
7.63,1.53
4.75,0.95
3,1
4.22,0
2.1,1
5.4,1.08
2.4,0.48
2.7,0
3,1
4.6,0
8.15,1.22
4.17,1
2.4,1
3,0.45
3.7,1
9.14,1.37
3.7,1
5.79,0.87
9.73,1.46
6.25,0.94
6.55,0.98
3,0
2.5,0.38
5.25,1.05
1.85,0.28
3.5,0.7
3.57,2
7.3,1.1
4.4,0.88
2.5,0
6.88,0
3.65,0
3.09,1
2.4,1
5.1,0
8.74,1.31
3.7,1
2.08,0.31
2.7,0.54
6.8,0
8.07,1.21
4.18,1.05
4.6,0
2.7,0
3.5,1
4.65,0
8,2
6.8,1.36
2.5,0
5.99,1.5
2.75,0
3.01,1
11.72,0
3.9,0
8.29,1.24
13.91,2.09
2.4,0.36
4.04,0.61
3.01,0
2.1,1
3.87,0
5.94,0.89
